"content_id","user_id","name","keyword","price","flag_used","category_id_1","category_id_2","category_id_3","emergency_cnt","comment_cnt","interest","pfavcnt"
154812039,87148,"오즈세컨 배기 청바지 n5165 애슐리상점","애슐리상점,오즈세컨,청바지,배기바지",110000,13,"310","310140","310140040",0,0,696,12
154812514,87148,"럭키슈에뜨 밑단포인트 바지 36 n5163 애슐리상점","애슐리상점,럭키슈에뜨,바지",110000,13,"310","310150","310150010",0,0,450,9
156885605,9596548,"레이스커텐","커텐,거실커텐,레이스커텐",15000,2,"800","800100","800100999",0,0,844,54
162806628,12851816,"#한정판매#갤럭시S21울트라 256GB 블랙 SS급 중고폰[60354]","갤럭시S21울트라,S21울트라,S21울트라블랙",860000,1,"600","600700","600700001",0,0,376,7
161299684,77035169,"꽈배기 진주 가디건 (6COLOR)","진주가디건,가디건,크롭가디건,브이넥가디건",21000,2,"310","310","310",0,0,87,2
162789046,87148,"코스 A라인 원피스 S n8267 애슐리상점","애슐리상점,코스,원피스",30000,1,"310","310120","310120110",0,0,82,3
162806909,12851816,"#한정판매#갤럭시S20플러스 레드 256GB A+ 중고폰[03497]","갤럭시S20플러스,S20플러스,S20플러스레드",479000,1,"600","600700","600700001",0,0,253,5
162174021,6972746,"[특S급]S20플러스 256기가 레드 대구중고폰","S20플러스,S20플러스중고폰,갤럭시S20플러스,S21,S21플러스",540000,1,"600","600700","600700001",0,0,578,8
72580333,48349,"팔각팔찌/24k순금도금+순은/남자/명품/금팔찌/은팔찌/도금팔찌/실버/시계","도금,금팔찌,18k,은팔찌,금목걸이",280000,2,"420","420200","420200300",3,244,21926,683
81677031,1358510,"NMAX 전용 머플러 엔맥스 풀배기 아크라 포빅 요시무라 모양","nmax125,nmax125튜닝,아크라포빅,엔맥스머플러,엔맥스아크라",170000,2,"750","750800","750800100",2,2,17482,152
77262424,2868383,"<빈티지푸> 정품 polo 셔츠 맛집 인정이요!","폴로셔츠,단색셔츠,폴로랄프로렌,옥스포드",30000,1,"320","320040","320040100",1,40,32733,261
163135460,6972746,"노트9 128기가 블랙 대구중고폰","노트9,노트9중고,갤럭시노트9,노트8,노트10",210000,1,"600","600700","600700001",0,0,49,1
