"imp_id","server_time_kst","bid_price","device_type"
"99d1612dd37b22174634","2021-08-31T16:00:17.115+09:00","50","a"
"971a612ddb0a0ea0ea32","2021-08-31T16:34:42.448+09:00","50","a"
"97cf612de14d09ffe0bd","2021-08-31T16:59:42.673+09:00","50","a"
"99d1612dd86a222ac652","2021-08-31T16:38:46.901+09:00","50","a"
"97f9612ddfe816632946","2021-08-31T16:55:46.156+09:00","60","a"
"99d1612dd55f221e604c","2021-08-31T16:08:37.446+09:00","55","a"
"97cf612dd60309d0e100","2021-08-31T16:11:04.446+09:00","50","a"
"9919612dd63a2215072d","2021-08-31T16:12:21.734+09:00","155","a"
"9919612dd6b02216f9d1","2021-08-31T16:14:35.130+09:00","75","a"
"97cf612dd68909d2fc51","2021-08-31T16:13:29.900+09:00","75","a"
"9919612ddd3c22321c6f","2021-08-31T16:42:22.927+09:00","50","a"
"99d1612dd51a221d5b92","2021-08-31T16:13:41.127+09:00","55","a"
"971a612dda330e9d79ea","2021-08-31T16:28:56.201+09:00","60","a"
"99d1612dd6f92224e7c8","2021-08-31T16:15:10.608+09:00","55","a"
"97f9612dd3ff16327e22","2021-08-31T16:03:03.812+09:00","50","a"
"99d1612dd808222936d4","2021-08-31T16:19:43.796+09:00","50","a"
"97f9612dd7ab1640f565","2021-08-31T16:20:17.711+09:00","50","a"
"998c612dd3c700706e30","2021-08-31T16:02:01.664+09:00","50","a"
"998c612dd8a80083f04b","2021-08-31T16:22:29.188+09:00","50","a"
"998c612dd9580086ec6a","2021-08-31T16:25:23.757+09:00","145","a"
"99d1612dd949222e8bf4","2021-08-31T16:25:32.849+09:00","60","a"
"9919612dd9a92223616b","2021-08-31T16:26:54.945+09:00","55","a"
"998c612ddaa3008c71ac","2021-08-31T16:31:06.598+09:00","50","a"
"97cf612dda5009e2ed99","2021-08-31T16:29:37.238+09:00","50","a"
"97f9612dd5641637b0aa","2021-08-31T16:08:46.549+09:00","50","a"
"971a612dd4240e84b075","2021-08-31T16:20:20.741+09:00","50","a"
"971a612ddad20e9ffb5e","2021-08-31T16:32:21.247+09:00","50","a"
"99d1612ddcba223cd3c0","2021-08-31T16:41:57.168+09:00","55","a"
"9919612dd7df221bdb5d","2021-08-31T16:19:33.793+09:00","50","a"
"97f9612ddb34164fe3f7","2021-08-31T16:33:14.036+09:00","55","a"
"998c612dd56500769270","2021-08-31T16:08:46.549+09:00","50","a"
"97f9612dd5b71638fe3b","2021-08-31T16:10:02.310+09:00","50","a"
"971a612dd5be0e8ad47b","2021-08-31T16:10:26.866+09:00","50","a"
"998c612dd9860087b55b","2021-08-31T16:28:22.857+09:00","70","a"
"97cf612dd6cf09d413b3","2021-08-31T16:14:44.222+09:00","50","a"
"99d1612dd6df22247cbe","2021-08-31T16:14:58.482+09:00","50","a"
"99d1612ddcf7223dc336","2021-08-31T16:41:23.203+09:00","55","a"
"9919612dd8eb22203beb","2021-08-31T16:27:29.787+09:00","50","a"
"998c612dd88f008386af","2021-08-31T16:21:57.284+09:00","50","a"
"99d1612dd62b22219cfe","2021-08-31T16:11:45.353+09:00","50","a"
"9919612dd64322152e0e","2021-08-31T16:12:20.723+09:00","60","a"
